X..Loci.Detected,Index,Sample.ID,Sample.Group,Sentrix.Barcode,Sample.Section,Detected.CpG..0.01.,Detected.CpG..0.05.,Signal.Average.GRN,Signal.Average.RED,Signal.P05.GRN,Signal.P05.RED,Signal.P25.GRN,Signal.P25.RED,Signal.P50.GRN,Signal.P50.RED,Signal.P75.GRN,Signal.P75.RED,Signal.P95.GRN,Signal.P95.RED,Sample_Well,Sample_Plate,Pool_ID
99.96016,137,115b5dfe3d5954de,Default Group,2.04843E+11,R01C01,865026,865573,2628.493,3373.088,162,235,529,640,1786,1646,4223,4773,7587,11945,A06,Nair2_Sample_011,NA
99.96605,138,7695a223e8615b2c,Default Group,2.04843E+11,R02C01,865284,865624,2760.923,3479.161,184,252,571,696,1965,1764,4439,4991,7749,12042,B06,Nair2_Sample_011,NA
99.96085,139,c134e2ebfcb3cc5d,Default Group,2.04843E+11,R03C01,865127,865579,2951.607,3731.19,210,283,628,764,2114,1917,4750,5373,8202,12795,C06,Nair2_Sample_011,NA
99.95485,140,9508c6a08774f887,Default Group,2.04843E+11,R04C01,865121,865527,3035.569,4112.45,207,300,627,785,2123,1980,4903,5833,8554,14571,D06,Nair2_Sample_011,NA
99.95196,141,a61eaee7a7473d4b,Default Group,2.04843E+11,R05C01,865117,865502,3333.199,4171.489,225,312,691,809,2367,2025,5383,5930,9321,14712,E06,Nair2_Sample_011,NA
99.92332,142,2e01ceb84698a45c,Default Group,2.04843E+11,R06C01,864921,865254,3284.484,4076.8,209,286,674,784,2322,2004,5312,5833,9209,14307,F06,Nair2_Sample_011,NA
99.90519,143,NA10859_2,Default Group,2.04843E+11,R07C01,864747,865097,3162.726,5273.246,220,318,548,1248,2021,3675,5248,8398,9220,14726,Tube,Tube,NA
99.90276,144,93304856b954db5f,Default Group,2.04843E+11,R08C01,864790,865076,3198.979,4438.81,216,335,664,845,2179,2130,5125,6279,9188,15788,H06,Nair2_Sample_011,NA
99.94549,145,8af764b5081deedc,Default Group,2.04848E+11,R01C01,865085,865446,2842.053,4135.26,138,254,541,787,2009,2086,4621,6003,8053,14316,A07,Nair2_Sample_011,NA
99.91454,146,eca9158f5f28bf27,Default Group,2.04848E+11,R02C01,864698,865178,3277.429,4370.597,194,299,663,851,2339,2197,5323,6299,9146,15137,B07,Nair2_Sample_011,NA
99.93822,147,56ebfe7797048a61,Default Group,2.04848E+11,R03C01,864758,865383,3613.99,4538.874,206,306,735,895,2565,2330,5854,6582,10135,15590,C07,Nair2_Sample_011,NA
99.9016,148,2a9ad027ffb344ae,Default Group,2.04848E+11,R04C01,864561,865066,3618.847,4578.273,198,306,725,885,2582,2304,5899,6637,10092,15801,D07,Nair2_Sample_011,NA
99.87424,149,5788c6980eb75caa,Default Group,2.04848E+11,R05C01,863653,864829,3464.909,4885.566,211,333,713,916,2283,2429,5564,7023,10110,17124,E07,Nair2_Sample_011,NA
99.90322,150,638b3dcf4d467d94,Default Group,2.04848E+11,R06C01,864305,865080,3535.485,4671.284,202,321,693,930,2520,2379,5662,6627,10043,16372,F07,Nair2_Sample_011,NA
99.89872,151,da99ca7c50852089,Default Group,2.04848E+11,R07C01,864359,865041,3636.262,5030.784,237,382,758,945,2591,2358,5879,7058,10142,18077,G07,Nair2_Sample_011,NA
